,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,kategori
0,3201010001,3201010002,3201010003,3201010004,3201010005,3201010006,3201010007,3201010008,3201010009,3201010010,3201020001,3201020002,3201020003,3201020004,3201020005,3201020006,3201020017,3201020018,3201020019,3201021001,3201021002,3201021003,3201021004,3201021005,3201021006,3201030001,3201030002,3201030003,3201030004,3201030005,3201030008,3201030009,3201030010,3201030011,3201030012,3201030013,3201030014,3201030015,3201040001,3201040002,3201040004,3201040006,3201040007,3201040008,3201040009,3201040012,3201040013,3201040014,3201040015,3201050004,3201050008,3201050009,3201050010,3201050011,3201050012,3201050013,3201050014,3201050015,3201050016,3201050017,3201050018,3201050019,3201051002,3201051004,3201051005,3201051006,3201060001,3201060002,3201060003,3201060004,3201060005,3201060006,3201060007,3201060008,3201060009,3201060010,3201070009,3201070010,3201070011,3201070012,3201070013,3201070014,3201070015,3201070016,3201070017,3201070018,3201070019,3201071001,3201071002,3201071003,3201071004,3201071005,3201071006,3201071007,3201071008,3201080010,3201080011,3201080012,3201080013,3201080014,3201080015,3201080016,3201080017,3201080018,3201081001,3201081002,3201081003,3201081004,3201081005,3201081006,3201081007,3201081008,3201081009,3201090001,3201090002,3201090003,3201090004,3201090005,3201090006,3201090007,3201090008,3201090009,3201090010,3201090011,3201090012,3201100001,3201100002,3201100003,3201100004,3201100005,3201100006,3201100007,3201100008,3201100009,3201100010,3201100011,3201100012,3201100013,3201110001,3201110002,3201110003,3201110004,3201110005,3201110006,3201110007,3201110008,3201110009,3201110010,3201120001,3201120002,3201120003,3201120004,3201120005,3201120006,3201120007,3201120008,3201120009,3201120010,3201120011,3201130001,3201130002,3201130003,3201130004,3201130005,3201130006,3201130007,3201130008,3201130009,3201130010,3201130011,3201130012,3201130013,3201140001,3201140002,3201140003,3201140004,3201140005,3201140006,3201140007,3201140008,3201140009,3201150001,3201150002,3201150003,3201150004,3201150005,3201150006,3201150007,3201150008,3201150009,3201150010,3201160011,3201160012,3201160013,3201160014,3201160015,3201160016,3201160017,3201160018,3201160019,3201160020,3201161001,3201161002,3201161003,3201161004,3201161005,3201161006,3201161007,3201161008,3201161009,3201161010,3201170001,3201170002,3201170003,3201170004,3201170005,3201170006,3201170007,3201170008,3201170009,3201170010,3201170011,3201170012,3201170013,3201170014,3201180010,3201180011,3201180012,3201180013,3201180014,3201180015,3201180016,3201180017,3201180018,3201180019,3201180020,3201180021,3201181001,3201181002,3201181003,3201181004,3201181005,3201181006,3201181007,3201181008,3201181009,3201190001,3201190002,3201190003,3201190004,3201190005,3201190006,3201190007,3201190008,3201190009,3201190010,3201200001,3201200002,3201200003,3201200004,3201200005,3201200006,3201200007,3201200008,3201200009,3201200010,3201200011,3201200012,3201200013,3201200014,3201210001,3201210002,3201210003,3201210004,3201210005,3201210006,3201210007,3201210008,3201210009,3201210010,3201210011,3201210012,3201220002,3201220003,3201220004,3201220005,3201220011,3201220012,3201220013,3201220014,3201220015,3201221001,3201221002,3201221003,3201221004,3201221005,3201221006,3201221007,3201230006,3201230007,3201230008,3201230009,3201230010,3201230011,3201230013,3201230014,3201230015,3201231001,3201231002,3201231003,3201231004,3201231005,3201231006,3201231007,3201240009,3201240010,3201240011,3201240012,3201240013,3201240014,3201240015,3201240016,3201240017,3201241001,3201241002,3201241003,3201241004,3201241005,3201241006,3201241007,3201241008,3201241009,3201241010,3201250001,3201250002,3201250003,3201250004,3201250005,3201250006,3201250007,3201250008,3201250009,3201250010,3201260001,3201260002,3201260003,3201260004,3201260005,3201260006,3201260007,3201260008,3201260009,3201260010,3201260011,3201260012,3201260013,3201270006,3201270009,3201270010,3201270011,3201270012,3201270013,3201270014,3201270015,3201270016,3201270017,3201270018,3201270019,3201270020,3201270021,3201270022,3201271001,3201271002,3201271003,3201271004,3201271005,3201271006,3201271007,3201271008,3201271009,3201280003,3201280004,3201280005,3201280006,3201280007,3201280008,3201280009,3201280010,3201280011,3201280012,3201280013,3201280014,3201280015,3201280016,3201280017,3201280018,3201290001,3201290002,3201290003,3201290004,3201290005,3201290006,3201290007,3201290008,3201290009,3201300001,3201300002,3201300003,3201300004,3201300005,3201300006,3201300007,3201300008,3201300009,3201300010,3201300011,3271010001,3271010002,3271010003,3271010004,3271010005,3271010006,3271010007,3271010008,3271010009,3271010010,3271010011,3271010012,3271010013,3271010014,3271010015,3271010016,3271020001,3271020002,3271020003,3271020004,3271020005,3271020006,3271030001,3271030002,3271030003,3271030004,3271030005,3271030006,3271030007,3271030008,3271040001,3271040002,3271040003,3271040004,3271040005,3271040006,3271040007,3271040008,3271040009,3271040010,3271040011,3271050001,3271050002,3271050003,3271050004,3271050005,3271050006,3271050007,3271050008,3271050009,3271050010,3271050011,3271050012,3271050013,3271050014,3271050015,3271050016,3271060001,3271060002,3271060003,3271060004,3271060005,3271060006,3271060007,3271060008,3271060009,3271060010,3271060011,321020007,321021007,321030007,321040005,321051001,IDDESA
1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,KODE_PROV
2,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,JAWA BARAT,NAMA_PROV
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,1,1,1,1,1,KODE_KAB
4,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,BOGOR,NAMA_KAB
5,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,20,20,20,21,21,21,21,21,21,30,30,30,30,30,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,51,51,51,51,60,60,60,60,60,60,60,60,60,60,70,70,70,70,70,70,70,70,70,70,70,71,71,71,71,71,71,71,71,80,80,80,80,80,80,80,80,80,81,81,81,81,81,81,81,81,81,90,90,90,90,90,90,90,90,90,90,90,90,100,100,100,100,100,100,100,100,100,100,100,100,100,110,110,110,110,110,110,110,110,110,110,120,120,120,120,120,120,120,120,120,120,120,130,130,130,130,130,130,130,130,130,130,130,130,130,140,140,140,140,140,140,140,140,140,150,150,150,150,150,150,150,150,150,150,160,160,160,160,160,160,160,160,160,160,161,161,161,161,161,161,161,161,161,161,170,170,170,170,170,170,170,170,170,170,170,170,170,170,180,180,180,180,180,180,180,180,180,180,180,180,181,181,181,181,181,181,181,181,181,190,190,190,190,190,190,190,190,190,190,200,200,200,200,200,200,200,200,200,200,200,200,200,200,210,210,210,210,210,210,210,210,210,210,210,210,220,220,220,220,220,220,220,220,220,221,221,221,221,221,221,221,230,230,230,230,230,230,230,230,230,231,231,231,231,231,231,231,240,240,240,240,240,240,240,240,240,241,241,241,241,241,241,241,241,241,241,250,250,250,250,250,250,250,250,250,250,260,260,260,260,260,260,260,260,260,260,260,260,260,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,271,271,271,271,271,271,271,271,271,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,280,290,290,290,290,290,290,290,290,290,300,300,300,300,300,300,300,300,300,300,300,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,20,20,20,20,20,30,30,30,30,30,30,30,30,40,40,40,40,40,40,40,40,40,40,40,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,60,60,60,60,60,60,60,60,60,60,60,20,21,30,40,51,KODE_KEC
