Komposisi DPK Bank Syariah,Rupiah,2011-06-30,83494,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2011-07-31,86291,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2011-08-31,88471,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2011-09-30,94303,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2011-10-31,98274,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2011-11-30,101649,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2011-12-31,110910,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-01-31,112214,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-02-29,110000,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-03-31,113994,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-04-30,108317,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-05-31,109689,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-06-30,113299,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-07-31,115683,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-08-31,118236,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-09-30,121840,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-10-31,127252,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-11-30,130891,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2012-12-31,140547,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-01-31,141619,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-02-28,143742,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-03-31,149032,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-04-30,151024,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-05-31,155232,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-06-30,155207,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-07-31,158279,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-08-31,161435,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-09-30,162236,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-10-31,164249,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-11-30,165945,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2013-12-31,171900,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-01-31,177252,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-02-28,166610,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-03-31,169957,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-04-30,172707,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-05-31,177289,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-06-30,178481,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-07-31,181440,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-08-31,182755,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-09-30,183979,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-10-31,193805,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-11-30,196191,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2014-12-31,204404,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-01-31,197699,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-02-28,196949,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-03-31,198022,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-04-30,199284,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-05-31,198578,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-06-30,197659,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-07-31,197659,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-08-31,197659,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-09-30,197659,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-10-31,197659,Bulanan,
Komposisi DPK Bank Syariah,Rupiah,2015-11-30,197659,Bulanan,
