Investasi Asing Langsung Netto berdasarkan Negara,,2004-06-30,57,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2004-09-30,332,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2004-12-31,646,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2005-03-31,277,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2005-06-30,433,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2005-09-30,465,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2005-12-30,406,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2006-03-31,750,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2006-06-30,245,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2006-09-29,489,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2006-12-29,533,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2007-03-30,401,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2007-06-29,688,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2007-09-28,729,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2007-12-31,804,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2008-03-31,664,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2008-06-30,119,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2008-09-30,477,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2008-12-31,706,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2009-03-31,128,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2009-06-30,378,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2009-09-30,-79,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2009-12-31,247,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2010-03-31,350,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2010-06-30,307,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2010-09-30,-107,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2010-12-31,-271,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2011-03-31,1770,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2011-06-30,786,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2011-09-30,-211,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2011-12-30,986,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2012-03-30,232,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2012-06-29,-666,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2012-09-28,205,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2012-12-31,482,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2013-03-29,-280.92,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2013-06-28,-129.54,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2013-09-30,-880.9,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2013-12-31,-361,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2014-03-31,345.53,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2014-06-30,217.3,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2014-09-30,408.09,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2014-12-31,-699.25,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2015-03-31,-750.33,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2015-06-30,461.84,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2015-09-30,440.76,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2015-12-31,-217.99,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2016-03-31,200.06,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2016-06-30,48.68,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2016-09-30,-249.15,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2016-12-30,383.98,Kuartalan,
Investasi Asing Langsung Netto berdasarkan Negara,,2017-03-31,2737.82,Kuartalan,
