"news_influencer_id","news_id","influencer_name"
"214","99","rendang+unta+william+wongso+sambungan"
"215","100","amran+sulaiman"
"216","102","assyifa+szami+ilman"
"217","102","eko+listianto"
"218","102","suhariyanto"
"219","103","mas'ud+khamid"
"220","104","bhima+yudhistira"
"221","105","beliun+ditemukan+sutopo"
"222","105","sutopo+purwo+nugroho"
"223","105","astia"
"224","105","feby+farhan"
"225","105","khamid"
"226","105","gayus+sampe"
"227","108","hadi+sulistyo"
"228","109","ramsyah"
"229","110","ahmad+siddik+badruddin"
"230","111","bhima+yudhistira"
"231","111","iskandar"
"232","111","darmin+nasution"
"233","112","hendra+jaya"
"234","113","hasto+kristiyanto"
"235","114","roby+hervindo"
"236","115","adiatma+sardjito"
"237","115","nicke+widyawati"
"238","115","pri+agung+rakhmanto"
"239","115","kardaya+wamika"
"240","115","wisnu+prabawa+taher"
"241","117","kariyanto+hardjosoemarto"
"242","120","m+husein+sawit"
"243","120","tjahya+widayanti"
"244","120","achmad+dawami"
"245","120","bachtiar+utomo"
"246","121","hardy"
"247","122","suvro+sarkar"
"248","123","eka+tirtayana"
"249","123","made+subur"
"250","124","m+iqbal"
"251","124","muhamad+sigit"
"252","125","gusti+ngurah+jelantik+manuaba"
"253","126","eddy+gunawin"
"254","126","kerek+kinerja+superkrane"
"255","127","l-^robert+susilo"
"256","128","rofyanto+kumiawan"
"257","128","jongkie+sugiarto"
"258","128","taxation+analisys+yustinus+prastowo"
"259","129","christine+lagarde"
"260","129","sri+mulyani+indrawati"
"261","129","peter+jacobs"
"262","129","junanto+herdiawan"
"263","129","rofyanto+kumiawan"
"264","129","jongkie+sugiarto"
"265","129","myrdal+gunarto"
"266","129","taxation+analisys+yustinus+prastowo"
"267","129","tony+prasetiantono"
"268","129","eric+sugandi"
"269","130","fanshurullah"
"270","131","sutopo+purwo+nugroho"
"271","131","abdurrahman+mohammad+fachir"
"272","132","rizki+hermansyah"
"273","132","hendi+rachmat"
"274","133","perry+warjiyo"
"275","134","regionalsulawesipln+syamsulhuda"
"276","134","djainuddin+karanggusi"
"277","134","masiud+khamid"
"278","134","ignasius+jonan"
"279","135","agusman"
"280","135","pieter+abdullah+redjalam"
"281","135","toni+prasetiantono"
"282","135","bhima+yudhistira"
"283","137","amran+sulaiman"
"284","139","rendang+unta+william+wongso"
"285","140","yuliani"
"286","140","pudjo+hartono"
"287","141","khamid"
"288","141","mas'ud"
"289","141","m+roby+hervindo"
"290","142","imro'atin+imro'atin"
"291","142","blitar+widyo+guntoro"
"292","143","enjang+mulyana"
"293","143","madusari+nusaperdanayang"
"294","144","i+wayan+sumerta"
"295","144","pande+putu+paramarta"
"296","145","iwan"
"297","145","dudi+sudradjat+abdurachim"
"298","145","gunawan"
"299","146","andi+kusnardi"
"300","146","oji+fahroji"
"323","162","roby+hervindo"
"324","163","kadis+perinkop+marsarasi+simanjuntak+s+p"
"325","164","m+fuadi"
"326","164","yahya"
"327","166","tri+suwandono"
"328","167","muhammad+qodari"
"329","167","rio"
"330","167","nadia"
"331","167","maman+imanulhaq"
"332","167","andre+rosiade"
"333","168","ulfa"
"334","168","adrin+tohari"
"335","168","agustan"
"336","168","imam+achmad+sadisun"
"337","168","pieter+boeve"
"338","169","ansar"
"339","169","fajar"
"340","170","tri+suwandono"
"341","171","umar+hadi"
"342","173","adnan+purichta+ichsan"
"343","174","febri+diansyah"
"344","175","bambang+widjajanto"
"345","176","tri+suwandono"
"346","178","darmin+nasution"
"347","178","joseph+stigliz"
"348","179","tri+suwandono"
"349","180","tri+suwandono"
"350","181","rizal+ramli"
"351","182","sutanto"
"352","183","ryaas+rasyid"
"353","183","joko+widodo"
"354","184","iwan+supangkat"
"355","184","syamsul+huda"
"356","185","roby+hervindo"
"357","185","kiki"
"358","186","amjad+abdulla"
"359","186","thelma+krug"
"360","187","jerome+powell"
"361","187","josua+pardede"
"362","187","andri+hardianto"
"363","189","tri+suwandono"
"364","190","febri+diansyah"
"365","192","asep+sasa+purnama"
"366","192","ruslan+s"
"367","192","umar"
"368","193","hambra+samal"
"369","194","abdul+rahman+saleh"
"370","195","febri+diansyah"
"371","196","andi+amran+sulaiman"
"372","196","amean"
"373","196","de+karwo"
"374","196","suwandi"
"375","196","berry+gaswara"
"376","196","yulius+dwi+putra"
"377","196","herry+phio"
"378","197","muhammad+amin"
"379","198","bambang+widjajanto"
"380","198","adi+deriyan+jayamarta"
"381","198","basuki+hariman"
"382","198","ade"
"383","199","ridwan+simanullang"
"384","200","adi+deriyan+jayamarta"
"385","200","ade"
"386","201","rahmat+masri+bandaso"
"387","202","tri+suwandono"
"388","203","taufik+eko"
"389","203","zulkarnain+alijudin"
"390","204","andi+amran+sulaiman"
"391","205","roby+hervindo"
"392","206","defrizal"
"393","207","adi+deriyan+jayamarta"
"394","207","basuki+hariman"
"395","208","soekarwo"
"396","208","amran+sulaiman"
"397","208","suwandi"
"398","209","adi+deriyan+jayamarta"
"399","210","frans+handoko"
"400","211","kiki"
"401","211","roby+hervindo"
"402","212","andi+amran+sulaiman"
"403","213","syamsuddin"
"404","213","sulthon"
"405","214","arief+r+palallo"
"406","215","adiatma+sardjito"
"407","216","ridwan+simanullang"
"408","217","kaharudin"
"409","218","tri+wahyudi+saleh"
"410","219","chairani+rachmatullah"
"411","220","caroline+apovian"
"412","220","brittany+markides"
"413","221","andi+amran+sulaiman"
"414","221","de+karwo"
"415","221","suwandi"
"416","221","berry+gaswara"
"417","221","yulius+dwi+putra"
"418","221","herry+phio"
"419","222","elvis+pattiselanom"
"420","223","nizar+zahro"
"421","223","hasto+kristiyanto"
"422","224","sahat+m+sinaga"
"423","226","dedi+mulyadi"
"424","227","yati"
"425","227","mira"
"426","227","yanti"
"427","228","murhardjani"
"428","229","soekarwo"
"429","229","herry+phio"
"430","229","berry+gaswara"
"431","229","yulius+dwi+putra"
"432","229","andi+amran+sulaiman"
"433","230","muhammad+hasbi"
"434","230","muh+hasbi"
"435","231","akun+instagram+rio+dewanto"
"436","231","insank+nasruddin"
"437","232","ibrahim"
"438","236","simon+baon"
"439","236","yohanes+kian+nunang"
"440","237","agung+pribadi"
"441","238","achmad+yurianto"
"442","239","wong+chun+sen+tarigan"
"443","239","h+zulkarnain+yusuf"
"444","240","m+irwansyah+putra"
"445","241","umar+hadi"
"446","244","firman+hidayat"
"447","244","sharlita+malik"
"448","245","maman+suherman"
"449","245","gatut+sumbogodjati"
"450","246","febri+diansyah"
"451","247","ridwan+simanullang"
"452","248","edi+mashudi"
"453","248","muhammad+fany"
"454","249","purwani"
"455","250","jerome+powell"
"456","250","josua+pardede"
"457","250","andri+hardianto"
"458","251","sri+mulyani+indrawati"
"459","251","komaidi+notonegoro"
"460","251","bhima+yudhistira"
"461","251","eric+sugandi"
"462","251","yose+rizal+damuri"
"463","252","bobby+chrisnawan"
"464","253","arifin+m+hadi"
"465","253","ridwan+s+carman"
"466","254","gibson+dunn"
"467","254","peter+harrell"
"468","254","steven+mnuchin"
"469","254","john+smith"
"470","255","maman+suherman"
"471","256","gatut+sumbogodjati"
"472","257","rifky+rakhman+yusuf"
"473","258","roby+hervindo"
"474","260","imam+suhadi"
"475","260","ahmad"
"476","261","sus+taibur+rahman"
"477","262","robert+siagian"
"478","263","maman+suherman"
"479","263","gatut+sumbogodjati"
"480","264","adi+deriyan+jayamarta"
"481","264","ade"
"482","265","taibur+rahman"
"483","266","gusti+raizal+eka+putra"
"484","267","tri+suwandono"
"485","268","maya+kainde"
"486","269","prabowo"
"487","269","tri+wahyuningsih"
"488","270","taufik+eko"
"489","270","eko+prihandana"
"490","271","edi+mashudi"
"491","271","muhammad+fany"
"492","272","syamsul+huda"
"493","273","pelangan+prihandana"
"494","275","widodo+joko+mulyono"
"495","275","andar+titi+lestari"
"496","276","andi+amran+sulaiman"
"497","277","nawawi+bahrudin"
"498","277","gading"
"499","277","febri"
"500","279","sandiaga+uno"
"501","280","akun+instagram+rio+dewanto"
"502","280","insank+nasruddin"
"503","289","adiatma+sardjito"
"504","291","ridwan+simanullang"
"505","292","ngesti+yuni+suprapti"
"506","292","aryandi"
"507","294","dwi+suryana"
"508","295","komang"
"509","297","andi+amran"
"510","297","soekarwo"
"511","298","roby+hervindo"
"512","299","zulkarnaen"
"513","300","arthur+wyns"
"514","301","andi+amran+sulaiman"
"515","302","agus+ashari"
"516","302","sudirman+said"
"517","302","tanto"
"518","303","sulampua+zulmi"
"519","304","soekarwo"
"520","304","amran+sulaiman"
"521","305","andi+amran+sulaiman"
"522","306","sri+mulyani+indrawati"
"523","306","komaidi+notonegoro"
"524","306","bhima+yudhistira"
"525","306","eric+sugandi"
"526","306","yose+rizal+damuri"
"527","307","chairul+latanro"
"528","308","adi+deriyan+jayamarta"
"529","309","soekarwo"
"530","309","amran+sulaiman"
"531","310","roby+hervindo"
"532","311","syamsul+huda"
"533","312","arif+prabowo"
"534","313","emrus+sihombing"
"535","313","darmin+nasution"
"536","313","eko+listianto"
"537","315","tri+suwandono"
"538","316","achmad+djamaluddin"
"539","317","umar+hadi"
"540","318","sirajuddin+ramly"
"541","318","mas'ud"
"542","319","roby+hervindo"
"543","321","dedi+mulyadi"
"544","322","romahurmuziy"
"545","323","amran+sulaimanamran"
"546","324","roby+hervindo"
"547","326","mark+howden"
"548","326","will+steffen"
"549","326","peter+newman"
"550","326","bronwyn+hayward"
"551","326","melissa+price"
"552","327","m+aziz+kurniawan"
"553","328","febri+diansyah"
"554","329","parningotan+sitorus"
"555","329","erlinawita+rambe"
"556","330","fabianus+alisiono"
"557","330","netty+sadukh"
"558","331","pujo+catur+susanto"
"559","331","roni+setiawan"
"560","332","roby+hervindo"
"561","333","roby+hervindo"
"562","335","andi+amran+sulaiman"
"563","336","andi+amran+sulaiman"
"564","336","soekarwo"
"565","336","hortikultura+suwandi"
"566","336","berry+gaswara"
"567","337","roby+hervindo"
"568","338","syamsul+huda"
"569","339","chairani+rachmatullah"
"570","340","arif+budimanta"
"571","341","achmad+yurianto"
"572","342","muhammad+hasyim"
"573","343","neti+sadukh"
"574","344","hambra+samal"
"575","345","roby+hervindo"
"576","346","febri+diansyah"
"577","347","irwan+satya+putra+pababari"
"578","348","h+zulkarnaen"
"579","350","roby+hervindo"
"580","352","abraham+lebron"
"581","352","william+c+dudley"
"582","352","federica+ranghieri"
"583","352","sveriges+riskbank"
"584","352","kenneth+s+rogoff"
"585","352","guillaume+lepecq"
"586","352","ewald+nowotny"
"587","352","al+kelly"
"588","352","kevin+curran"
"589","352","cash+is+resilient"
"590","352","tom+pierce"
"591","353","roby+hervindo"
"592","354","abdul+gani+kasuba"
"593","355","ibrahim"
"594","356","rifky+rakhman+yusuf"
"595","357","sandiaga+uno"
"596","357","dewi+kundalini+saraswati"
"597","357","thoman+pardosi"
"598","358","saptari+hoedaja"
"599","359","andi+amran+sulaiman"
"600","359","soekarwo"
"601","359","suwandi"
"602","359","berry+gaswara"
"603","359","yulius+dwi+putra"
"604","359","herry+phio"
"605","360","soekarwo"
"606","360","pakdhe+karwo"
"607","361","andi+amran+sulaiman"
"608","362","alicia+irzanova"
"609","362","mas'ud+khamid"
"610","362","roby+hervindo"
"611","363","herman+deru"
"612","364","dhenok+pratiwi"
"613","365","syamsul+huda"
"614","367","mark+howden"
"615","367","will+steffen"
"616","367","peter+newman"
"617","367","bronwyn+hayward"
"618","367","melissa+price"
"619","369","arief+r+palallo"
"620","370","syamsul+basri"
"621","370","hendrik+kuswoyo"
"622","370","rudy+tjahjohutomo"
"623","371","andi+amran+sulaiman"
"624","371","de+karwo"
"625","371","suwandi"
"626","371","berry+gaswara"
"627","371","yulius+dwi+putra"
"628","371","herry+phio"
"629","372","indra+wibowo"
"630","373","eko+kristiawan"
"631","374","umar+hadi"
"632","375","longki+djanggola"
"633","375","tri+suwandono"
"634","375","syamsul+huda"
"635","376","gempa+sulteng"
"636","376","achmad+jamaluddin"
"637","377","eko+kristiawan"
"638","380","febri+diansyah"
"639","381","donny+irawan"
"640","383","kajari+natuna+juli+isnur"
"641","383","harry+setyawan"
"642","384","rodrigo+duterte"
"643","384","amie+perez"
"644","384","martin+andanar"
"645","384","francis+pangilinan"
"646","384","franklin+drilon"
"647","385","roni+salaki"
"648","385","syamsul+arifin"
"649","385","wahyu"
"650","386","sandiaga+uno"
"651","387","adiatma+sardjito"
"652","389","willem+rampangilei"
"653","390","nawawi+bahrudin"
"654","391","fabianus+alisiono"
"655","392","putu+murtini"
