"news_person_id","news_id","person_name"
"227","54","sofjan+wanandi"
"228","54","sudirman+said"
"223","54","susilo+bambang+yudhoyono"
"231","55","dono+boestami"
"237","56","basuki+trikora+putra"
"238","56","maumere"
"236","56","reo"
"235","56","rifky"
"234","56","sanggaran"
"232","56","wayan+koster"
"233","56","yusuf"
"240","57","agus+maimun"
"239","57","muhammad+hasyim"
"241","58","joko+widodo"
"243","59","asep+sukmara"
"242","59","suparna"
"247","60","edo+rahman"
"244","60","heri"
"245","60","proyekplj'a+matenggeng"
"246","60","susanto"
"249","61","eko"
"248","61","huseno+gempa"
"251","62","arif+satria"
"250","62","bambang+brodjonegoro"
"252","62","rini+soemarno"
"255","63","joko+widodo"
"256","63","rahman"
"254","63","subaini"
"253","63","sutopo+purwo+nugroho"
"257","64","abdullah+mansuri"
"258","65","gusti+ngurah+jelantik+manuaba"
"259","65","wayan+suamba"
"262","66","mohammad+ta'in"
"261","66","sutanto"
"260","66","watno"
"265","67","gus+yasin"
"264","67","ponpes+pemprov"
"263","67","taj+yasin"
"266","68","sunardi"
"268","69","chok"
"269","69","karno"
"271","69","suwadi+wongso"
"270","69","william+wongso"
"272","69","wong+see+hwa"
"267","69","yong+indrajaya"
"273","70","agus+trimukti"
"274","71","heri+pratikno"
"275","71","rohmat"
"277","72","asep+sukmara"
"276","72","suparna"
"279","73","banka+belitung"
"278","73","chairani+rahmatullah"
"287","75","g+i+pamona"
"281","75","g+i+sidera+g+i+silae"
"280","75","g+i+talise"
"282","75","jusuf+kalla"
"285","75","kasim"
"284","75","mas'ud+khamid"
"286","75","muh+yamin"
"283","75","syamsul+hudamenuturkan"
"289","76","abdurrahman+mohammad+fachir"
"294","76","danrs+bhayangkara+bantuan"
"293","76","imam+suhartadi+hingga"
"292","76","indriani+widiastuti"
"291","76","lere"
"295","76","nosala"
"288","76","paboya"
"290","76","sutopo+purwo+nugroho"
"296","77","amran"
"297","77","sulaiman"
"298","78","anang+latief"
"299","78","ismail"
"301","78","rudiantara"
"300","78","widiastuti"
"305","79","andrew+tambunan"
"304","79","angga+rega+yandika"
"307","79","arif+rakhman"
"303","79","denny+nugrahanto"
"302","79","ella"
"306","79","hendrix+eko+v"
"308","80","askolani"
"309","80","risfaheri"
"310","81","niko+kwee"
"311","81","pongki+pamungkas"
"312","82","dwia+aries+tina+pulubuhu"
"313","82","nurdin+abdullah"
"314","83","edmond+leonardo+siahaan"
"317","83","gusti+ngurah+rai"
"316","83","h+hamzah"
"320","83","ida"
"319","83","m+ichsan+loulembah"
"318","83","m+iqbal"
"315","83","muhammad+nasrun"
"321","84","darmin+nasution"
"323","85","adi+rush"
"325","85","evelyn+yamin"
"324","85","komang+sukarsana"
"326","85","michael+jasin"
"328","85","muhammad+aga"
"327","85","mukhammad+fakhri"
"322","85","rendy+mahesa"
"330","86","chok"
"331","86","karno"
"333","86","suwadi+wongso"
"332","86","william+wongso"
"334","86","wong+see+hwa"
"329","86","yong+indrajaya"
"335","87","prabowo+subianto"
"336","87","sandiaga+uno"
"337","88","nurdin+abdullah"
"339","89","chok"
"340","89","karno"
"342","89","suwadi+wongso"
"341","89","william+wongso"
"343","89","wong+see+hwa"
"338","89","yong+indrajaya"
"345","90","cecep+muhammad+wahyudin"
"344","90","d'colonel"
"346","91","i+wayan+keplis"
"348","92","itmar+darwin+indigo"
"347","92","wilmar"
"350","93","hambra+samal"
"351","93","rini+soemarno"
"349","93","yon+raider"
"359","94","andy+budiman"
"358","94","djayadi+hanan"
"356","94","jokowi+makin+matang"
"354","94","jokowi+matang"
"355","94","prabowo+grasak"
"352","94","prabowo+subianto"
"357","94","ratna+sarumpaet"
"353","94","viva+yoga+mauladi"
"360","95","hariyadi+sukamdani"
"362","95","reza+priyambada"
"361","95","shinta+widjaja"
"366","96","djainuddin+karanggusi"
"363","96","ignasius+jonan"
"367","96","m+arifin"
"368","96","pengembangan+infrastruktur+m+noor+arifin"
"364","96","surya+hemat"
"365","96","syamsul+huda"
"371","97","denpost+semua"
"370","97","gultom+rai"
"372","97","mulyawan"
"369","97","rainier+gultom"
"376","98","bhima+yudhistira"
"375","98","perry+warjiyo"
"374","98","pieter+abdullah"
"373","98","tony+b+i"
"377","98","tony+prasetiantono"
"380","99","bung+karno.+pada"
"379","99","chok"
"381","99","rendang+unta+william+wongso+sambungan"
"383","99","suwadi+wongso"
"382","99","william+setidaknya"
"384","99","wong+see+hwa"
"378","99","yong+indrajaya"
"386","100","amran+sulaiman"
"385","100","joko+widodo"
"387","101","joko+widodo"
"389","102","assyifa+szami+ilman"
"388","102","eko+listianto"
"390","102","suhariyanto"
"391","103","jewat"
"394","103","jusuf+kalla"
"393","103","mas'ud+khamid"
"392","103","muh+yamin"
"395","104","bhima+yudhistira"
"397","105","astia"
"401","105","babul+jannah"
"402","105","beliun+ditemukan+sutopo"
"405","105","dwi+yuda"
"399","105","feby+farhan"
"404","105","gayus+sampe"
"396","105","khamid"
"400","105","nomoni"
"398","105","sutopo+purwo+nugroho"
"403","105","yusuf+bofe"
"406","107","suwarsono"
"407","108","hadi+sulistyo"
"409","109","ramsyah"
"408","109","surya+muaraenggelam+mulai+dipasang+panel+surya+muaraenggelam+mulai+dipasang"
"410","110","ahmad+siddik+badruddin"
"411","110","rini+soemarno"
"412","111","bhima+yudhistira"
"414","111","darmin+nasution"
"413","111","iskandar"
"415","112","hendra+jaya"
"418","113","hasto+kristiyanto"
"417","113","joko+widodo"
"419","113","megawati+soekamoputri"
"416","113","prabowo+subianto"
"420","113","sandiaga+uno"
"421","114","roby+hervindo"
"423","115","adiatma+sardjito"
"426","115","david+e+issetiabudi"
"427","115","denis+riantiza+m"
"425","115","kardaya+wamika"
"429","115","nicke+widyawati"
"428","115","pertamax+thrbo"
"422","115","pri+agung+rakhmanto"
"424","115","puspa"
"430","115","wisnu+prabawa+taher"
"431","116","sri+andini+sri+andini+seperti"
"432","117","kariyanto+hardjosoemarto"
"434","118","eko+thufik+wibowo"
"433","118","parent+stock"
"436","120","achmad+dawami"
"438","120","bachtiar+utomo"
"437","120","m+husein+sawit"
"435","120","tjahya+widayanti"
"440","121","anthony+angkawijaya"
"439","121","hardy"
"441","122","suvro+sarkar"
"443","123","eka+tirtayana"
"442","123","made+subur"
"444","124","m+iqbal"
"445","124","muhamad+sigit"
"446","125","gusti+ngurah+jelantik+manuaba"
"447","125","i+wayan+suamba"
"448","126","eddy+gunawin"
"450","126","harry+muthahhari"
"449","126","kerek+kinerja+superkrane"
"451","127","l-^robert+susilo"
"455","127","lo+kheng+hong"
"452","127","peter+lynch"
"453","127","sukarto+bujung"
"454","127","yunardi+tay"
"457","128","airlangga+hartarto"
"459","128","grace+olivia"
"460","128","jongkie+sugiarto"
"458","128","rofyanto+kumiawan"
"456","128","taxation+analisys+yustinus+prastowo"
"468","129","airlangga+hartarto"
"469","129","christine+lagarde"
"461","129","eric+sugandi"
"470","129","grace+olivia"
"466","129","jongkie+sugiarto"
"464","129","junanto+herdiawan"
"471","129","myrdal+gunarto"
"472","129","peter+jacobs"
"465","129","rofyanto+kumiawan"
"473","129","sri+mulyani+indrawati"
"467","129","taxation+analisys+yustinus+prastowo"
"463","129","tony+prasetiantono"
"474","130","fanshurullah"
"476","131","abdurrahman+mohammad+fachir"
"475","131","sutopo+purwo+nugroho"
"478","132","biker+messenger+solution"
"479","132","hendi+rachmat"
"477","132","rizki+hermansyah"
"480","132","westbike+messenger"
"482","133","ade+mustami"
"483","133","hany"
"484","133","nina+dwiantikan"
"481","133","perry+warjiyo"
"486","134","djainuddin+karanggusi"
"485","134","g+i+talise"
"487","134","ignasius+jonan"
"490","134","kasim"
"488","134","masiud+khamid"
"491","134","muh+yamin"
"489","134","regionalsulawesipln+syamsulhuda"
"494","135","agusman"
"493","135","bhima+yudhistira"
"495","135","pieter+abdullah+redjalam"
"496","135","piter"
"492","135","toni+prasetiantono"
"497","137","amran+sulaiman"
"498","137","senhai"
"501","139","chok"
"500","139","iskan"
"502","139","karno"
"505","139","karrfo"
"506","139","rendang+unta+william+wongso"
"504","139","suwadi+wongso"
"503","139","william+wongso+baru"
"507","139","wong+see+hwa"
"499","139","yong+indrajaya"
"510","140","agus+harianto"
"508","140","pudjo+hartono"
"511","140","spog"
"509","140","yuliani"
"513","141","khamid"
"514","141","m+roby+hervindo"
"512","141","mas'ud"
"516","142","blitar+widyo+guntoro"
"515","142","imro'atin+imro'atin"
"518","143","enjang+mulyana"
"517","143","madusari+nusaperdanayang"
"519","143","monawati+sugiarto"
"521","144","i+wayan+sumerta"
"520","144","pande+putu+paramarta"
"524","145","dudi+sudradjat+abdurachim"
"522","145","gunawan"
"523","145","iwan"
"525","146","andi+kusnardi"
"526","146","oji+fahroji"
"566","162","roby+hervindo"
"568","163","kadis+perinkop+marsarasi+simanjuntak+s+p"
"567","163","manuntun"
"569","164","m+fuadi"
"570","164","yahya"
"571","164","yulianto"
"572","166","tri+suwandono"
"574","167","andre+rosiade"
"576","167","joko+widodo"
"579","167","maman+imanulhaq"
"577","167","muhammad+qodari"
"580","167","nadia"
"573","167","prabowo+subianto"
"578","167","rio"
"575","167","sandiaga+uno"
"585","168","achmad+sadisun"
"586","168","adrin+tohari"
"583","168","agustan"
"582","168","imam+achmad+sadisun"
"581","168","pieter+boeve"
"584","168","ulfa"
"589","169","agung"
"587","169","ansar"
"590","169","fajar"
"588","169","hasanuddin+timika"
"591","170","tri+suwandono"
"592","171","umar+hadi"
"593","172","jufri"
